ID,LANGUAGE,TEXT,SOURCE,
good morning,agutaynen,moyang damal-damal,,
good morning,akeanon,Mayad-ayad nga agahon,https://en.wikipedia.org/wiki/Aklanon_language,
good morning,alangan,Maalen pag-umaga,https://www.facebook.com/LenieMayGayosoBanaag/posts/1073503436065417,
good morning,atta?,mapia _,,?
good morning,ayangan,Maphod an bigat,,
good morning,bantoanon,maadong aga,,
good morning,bikol,marhay na aga,,
good morning,blaan,fye flafus,,
good morning,bontok,Khawis ay wiit,,
good morning,buhid,fiya fag marom,Buhid Bible + Buhid Mangyan Facebook groups,
good morning,buhinon,maray na pita,,
good morning,bukidnon,maayad ha maselem,http://users.elite.net/runner/jennifers/Greetings%20B.htm,
good morning,butuanon,Madiyaw nga Hinaat,,
good morning,cagayanen,miad na sellem,,
good morning,capiznon,Mayad-ayad nga aga,https://wikitravel.org/en/Capiznon_phrasebook,
good morning,casiguran agta,Masampat e abi-abi,https://saribayan.wordpress.com/tag/aeta/,
good morning,cebuano,maayong buntag,,
good morning,chavacano,buenas dias,,
good morning,chinese,ho cha ki,https://www.youtube.com/watch?v=Dvz3ZjMlBt4,Philippine Hokkien
good morning,cuyonon,mayad nga timprano,,
good morning,davaweño,madayaw nga buntag,http://users.elite.net/runner/jennifers/Greetings%20D.htm,
good morning,dibabawon,madayow no kasooman,,
good morning,dulangan,mepion magtu simang,,
good morning,dupaningan,mapia a malledum,,Ï
good morning,english,good morning,,
good morning,gaddang,Macasta a daddaramat,,
good morning,hanunuo,Mayad pagsurip,,
good morning,hiligaynon,ma-ayong aga,,
good morning,ibaloi,Mapteng nga agsapa,http://users.elite.net/runner/jennifers/Greetings%20I.htm,
good morning,ibanag,mapia nga umma,https://en.wikipedia.org/wiki/Ibanag_language,
good morning,ifugao,Mayat ni aghapa,,
good morning,ilocano,naimbag a bigat,,
good morning,iranun,mapia mapita,https://www.facebook.com/permalink.php?story_fbid=346327992785395&id=346318549453006,
good morning,iraya,mapiya ka maga,,
good morning,isarog agta?,_ biabi,,?
good morning,isinay,mawwes si bihbihat,,
good morning,isneg,Ambalu we bigbigat,,
good morning,itawis,Napia nga mataruk,https://en.wikipedia.org/wiki/Itawis_language,
good morning,itneg,Nafalu ay figfigat,,
good morning,ivatan,mavid a mavukhas,,
good morning,kalagan,madayaw aga,https://tubadmindanao.blogspot.com/2007/08/let-us-talk-tagakaolo-kalagan.html,
good morning,kalanguya,Pehed ni agsapa,,
good morning,kalinga,kwayu hwikhwikan,,
good morning,kankanaey,Gawis ay agsapa,,
good morning,kapampangan,mayap a abak,,
good morning,karay-a,Mayad nga aga,"https://en.wikipedia.org/wiki/Karay-a_language#:~:text=Good%20morning!,%2D%20Mayad%20nga%20hapon!",
good morning,langilan,mapiya masurum,https://www.youtube.com/watch?v=1BFwZ7E8uEE,
good morning,mag-antsi,manged ya allo,Ayta Mag-Antsi Bible,"Not direct. =""Magandang araw"""
good morning,mag-indi aeta,manged a awlu,,"Not direct. =""Magandang araw"""
good morning,magbikin,yaraw wa awlu,,"Not direct. =""Magandang araw"""
good morning,maguindanao,mapia mapita,,
good morning,malaueg,napya nga mannawag,,
good morning,mandaya,madayaw na 'maga,http://users.elite.net/runner/jennifers/Greetings%20M.htm,
good morning,manide,magayon abe-abe,,
good morning,mansaka,madayaw na masurum,https://madyaw.blogspot.com/,
good morning,maranao,mapiya kapipita,,
good morning,masbateño,maayo na aga,https://en.wikipedia.org/wiki/Masbate%C3%B1o_language,
good morning,matigsalog,meupiya ne maselem,http://users.elite.net/runner/jennifers/Greetings%20M.htm,
good morning,obo,Moppiyan sollom,,
good morning,palawano,menungang meriklem,,
good morning,pangasinan,maabig ya kabuasan,,
good morning,paranan,mapiyya dimadimang,https://www.youtube.com/watch?v=XVYex6ETkvc,
good morning,pahanan agta,maganda a aldew,Agta Pahanan Bible,"Not direct. =""Magandang araw"""
good morning,remontado,mapiyang umaga,,
good morning,rinkonada,Maray na ramrag,,
good morning,romblomanon,Maayo nga aga,https://en.wikipedia.org/wiki/Romblomanon_language,
good morning,sangil,siong bae,https://www.youtube.com/watch?v=kRMXJGrYLQA,
good morning,sinama,ahap subu,,
good morning,subanon,gempia siselem,,
good morning,surigaonon,marajaw na buntag,https://en.wikipedia.org/wiki/Surigaonon_language,
good morning,tadyawan,kapyan pag oboste,Tadyawan Bible,
good morning,tagabawa,madigar salam kaneko,,
good morning,tagalog,magandang umaga,,
good morning,tagbanua,Mopyang temprano,,Tagbanwa is a group of languages. This is Tagbanwa Calamian.
good morning,tau-buid,Masine fag balabag,,
good morning,tausug,salam mahinaat,,
good morning,tboli,hyu hlafus,,
good morning,teduray,Feyo gefewen,http://users.elite.net/runner/jennifers/Greetings%20T.htm,
good morning,tigwahanon,muopiya mosulom,,
good morning,tuwali,Maphod an bigatna,,
good morning,umirey,piyon a abiabi,Agta Umiray Dumagat Bible,
good morning,waray,maupay nga aga,,
good morning,yakan,kasanyangan si ellew bi,,
good morning,yogad,mapi ya lelaw,https://www.philipwdavis.com/yogaddict02.pdf,
good morning,zambal,maabig a bukla,,