ID,LANGUAGE,TEXT,SOURCE
i love you,b'laan,kando ta ge,
i love you,bikol,padaba ta ka,
i love you,bolinao,inado ta ka,
i love you,cebuano,gihigugma tika,
i love you,chavacano,ta ama yo contigo,
i love you,cuyonon,Ingmamal takaw,
i love you,english,i love you,
i love you,gaddang,Kanggaman cu icca,
i love you,hiligaynon,palangga ta ka,
i love you,ibaloi,anshemek ta ka,
i love you,ibanag,Iddedukat takka,
i love you,ifugao,penpenhod cha-a,
i love you,ilocano,ay-ayaten ka,
i love you,ivatan,ichadao ko imu,
i love you,kalanguya,pipiyan ta ka,
i love you,kankanaey,laylaydek sik-a,
i love you,kapampangan,kaluguran da ka,
i love you,karay-a,gihugma ta kaw,
i love you,maguindanao,kalinian ko seka,
i love you,maranao,Pekababaya-an ko seka,
i love you,masbateño,Palangga ta ikaw,
i love you,pangasinense,inaro ta ka,
i love you,romblomanon,palangga ta ikaw,
i love you,surigaonon,taghigugma ta kaw,
i love you,t'boli,bung nawa hukom,
i love you,tagalog,mahal kita,
i love you,tausug,kalasahan ta kaw,
i love you,waray,pina-ura ta ikaw,